Date/Time,DOE [day],Meso label,Temp descr,Treat pCO2 [µatm],Temp [°C],Sal,pCO2 [µatm],[NO3]- + [NO2]- [µmol/l],[NH4]+ [µmol/l],TDN [µmol/l],Si(OH)4 [µmol/l],O2 [µmol/l],POC/PON [mol/mol],POC/POP,PON/POP
2014-09-19T00:00:00,17,M1,warm,2500,18.4,19.1,2520.0,0.6,0.32,0.92,8.4,0.29,6.46,26.65,3.53
2014-09-20T00:00:00,18,M1,warm,2500,18.4,19.0,,,,,,,,,
2014-09-21T00:00:00,19,M1,warm,2500,18.4,19.1,,,,,,,,,
2014-09-22T00:00:00,20,M1,warm,2500,18.2,19.1,1705.0,0.68,0.39,1.07,10.76,0.24,6.73,22.18,2.83
2014-09-23T00:00:00,21,M1,warm,2500,17.9,19.1,,,,,,,,,
2014-09-24T00:00:00,22,M1,warm,2500,18.1,19.1,2137.0,0.58,0.21,0.79,13.83,0.16,6.29,22.4,3.05
2014-09-25T00:00:00,23,M1,warm,2500,18.0,19.1,,,,,,,,,
2014-09-26T00:00:00,24,M1,warm,2500,18.1,19.0,1589.0,0.99,0.42,1.41,10.94,0.1,,,
2014-08-29T00:00:00,-4,M2,warm,1500,17.0,18.7,984.0,1.41,0.35,1.76,12.77,0.81,10.21,22.67,1.9
2014-08-31T00:00:00,-2,M2,warm,1500,16.0,18.8,,,,,,,,,
2014-09-01T00:00:00,-1,M2,warm,1500,15.8,18.8,301.0,1.52,0.54,2.06,18.89,0.65,9.21,62.6,5.83
2014-09-02T00:00:00,0,M2,warm,1500,16.1,18.8,,,,,,,,,
2014-09-03T00:00:00,1,M2,warm,1500,17.6,19.0,357.0,0.61,0.42,1.03,10.01,0.52,8.22,74.85,7.81
2014-09-04T00:00:00,2,M2,warm,1500,18.2,18.9,365.3,,,,,,,,
2014-09-05T00:00:00,3,M2,warm,1500,18.5,18.9,4331.0,2.16,0.34,2.5,8.94,0.52,6.09,61.81,8.7
2014-09-06T00:00:00,4,M2,warm,1500,18.7,18.9,,,,,,,,,
2014-09-07T00:00:00,5,M2,warm,1500,18.7,18.9,,,,,,,,,
2014-09-08T00:00:00,6,M2,warm,1500,18.8,18.8,2568.0,1.01,0.32,1.33,10.85,0.47,6.85,44.36,6.48
2014-09-09T00:00:00,7,M2,warm,1500,18.8,19.0,,,,,,,,,
2014-09-10T00:00:00,8,M2,warm,1500,18.6,19.0,2485.0,0.4,0.35,0.75,8.51,0.59,8.39,58.89,7.02
2014-09-11T00:00:00,9,M2,warm,1500,18.6,19.0,,,,,,,,,
2014-09-12T00:00:00,10,M2,warm,1500,18.8,19.0,2482.0,1.01,0.39,1.4,13.94,0.41,6.89,60.8,7.56
2014-09-13T00:00:00,11,M2,warm,1500,18.8,19.0,,,,,,,,,
2014-09-14T00:00:00,12,M2,warm,1500,18.8,19.0,,,,,,,,,
2014-09-15T00:00:00,13,M2,warm,1500,19.1,19.0,1223.0,0.91,0.36,1.27,14.85,0.35,7.5,33.12,3.79
2014-09-16T00:00:00,14,M2,warm,1500,18.9,19.0,,,,,,,,,
2014-09-17T00:00:00,15,M2,warm,1500,18.9,19.0,889.0,0.54,0.3,0.84,8.83,0.3,6.88,24.14,3.01
2014-09-18T00:00:00,16,M2,warm,1500,18.9,19.0,,,,,,,,,
2014-09-19T00:00:00,17,M2,warm,1500,18.8,19.0,1635.0,0.42,0.35,0.77,8.3,0.26,6.39,24.28,3.26
2014-09-20T00:00:00,18,M2,warm,1500,18.8,19.0,,,,,,,,,
2014-09-21T00:00:00,19,M2,warm,1500,18.8,18.9,,,,,,,,,
2014-09-22T00:00:00,20,M2,warm,1500,18.6,19.0,1536.0,0.56,0.39,0.95,11.69,0.19,6.81,28.73,3.62
2014-09-23T00:00:00,21,M2,warm,1500,18.5,19.0,,,,,,,,,
